Country Name,Country Code,Series Name,Series Code,2021 [YR2021]
Papua New Guinea,PNG,GDP (current US$),NY.GDP.MKTP.CD,26109413521
Papua New Guinea,PNG,GDP per capita (current US$),NY.GDP.PCAP.CD,2607.578619
Paraguay,PRY,GDP (current US$),NY.GDP.MKTP.CD,39950899939
Paraguay,PRY,GDP per capita (current US$),NY.GDP.PCAP.CD,5976.931798
Peru,PER,GDP (current US$),NY.GDP.MKTP.CD,2.26329E+11
Peru,PER,GDP per capita (current US$),NY.GDP.PCAP.CD,6826.202556
Philippines,PHL,GDP (current US$),NY.GDP.MKTP.CD,3.94087E+11
Philippines,PHL,GDP per capita (current US$),NY.GDP.PCAP.CD,3484.385939
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,6.8917E+11
Poland,POL,GDP per capita (current US$),NY.GDP.PCAP.CD,18635.51049
Portugal,PRT,GDP (current US$),NY.GDP.MKTP.CD,2.56056E+11
Portugal,PRT,GDP per capita (current US$),NY.GDP.PCAP.CD,24711.45101
Puerto Rico (US),PRI,GDP (current US$),NY.GDP.MKTP.CD,1.06427E+11
Puerto Rico (US),PRI,GDP per capita (current US$),NY.GDP.PCAP.CD,32619.07046
Qatar,QAT,GDP (current US$),NY.GDP.MKTP.CD,1.79732E+11
Qatar,QAT,GDP per capita (current US$),NY.GDP.PCAP.CD,71751.93634
Romania,ROU,GDP (current US$),NY.GDP.MKTP.CD,2.85071E+11
Romania,ROU,GDP per capita (current US$),NY.GDP.PCAP.CD,14907.98037
Russian Federation,RUS,GDP (current US$),NY.GDP.MKTP.CD,1.82919E+12
Russian Federation,RUS,GDP per capita (current US$),NY.GDP.PCAP.CD,12425.0293
Rwanda,RWA,GDP (current US$),NY.GDP.MKTP.CD,11078787090
Rwanda,RWA,GDP per capita (current US$),NY.GDP.PCAP.CD,829.5448453
Samoa,WSM,GDP (current US$),NY.GDP.MKTP.CD,859724936.1
Samoa,WSM,GDP per capita (current US$),NY.GDP.PCAP.CD,4021.559349
San Marino,SMR,GDP (current US$),NY.GDP.MKTP.CD,1855652786
San Marino,SMR,GDP per capita (current US$),NY.GDP.PCAP.CD,54176.4798
Sao Tome and Principe,STP,GDP (current US$),NY.GDP.MKTP.CD,524402455.5
Sao Tome and Principe,STP,GDP per capita (current US$),NY.GDP.PCAP.CD,2362.588272
Saudi Arabia,SAU,GDP (current US$),NY.GDP.MKTP.CD,9.82661E+11
Saudi Arabia,SAU,GDP per capita (current US$),NY.GDP.PCAP.CD,31920.76537
Senegal,SEN,GDP (current US$),NY.GDP.MKTP.CD,27520784130
Senegal,SEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1598.10677
Serbia,SRB,GDP (current US$),NY.GDP.MKTP.CD,66159884073
Serbia,SRB,GDP per capita (current US$),NY.GDP.PCAP.CD,9680.527981
Seychelles,SYC,GDP (current US$),NY.GDP.MKTP.CD,1487173795
Seychelles,SYC,GDP per capita (current US$),NY.GDP.PCAP.CD,14982.91115
